"Type","Date","Site","Age","LM","Taxon","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"Water","2018-09-01","Gibson Lakes",NA,NA,"Inhibitory",0.00477191113413466,0.00675506787791077,0.00800773539358986,0.009504133849756,0.0132158684599574
"Water","2018-09-01","Gibson Lakes",NA,NA,"NonInhibitory",0.0228810413672943,0.0291018879691296,0.0326622548804468,0.0370066090250577,0.0471735521363079
"Water","2018-09-01","Gibson Lakes",NA,NA,"Uncertain",0.942294276111299,0.954318595506195,0.959213001075,0.963192428369847,0.969945506853205
"Water","2018-09-08","Ponds Lake",NA,NA,"Inhibitory",0.00423409857082797,0.00609956238330172,0.00731891115706199,0.00877954824354045,0.0121465093370612
"Water","2018-09-08","Ponds Lake",NA,NA,"NonInhibitory",0.0039959870412124,0.00593164785650072,0.0071567396118386,0.00868850120638083,0.0127266082831856
"Water","2018-09-08","Ponds Lake",NA,NA,"Uncertain",0.977079570256056,0.982948382412375,0.985311063018268,0.987362654997441,0.99041402891085
"Water","2018-09-15","Gibson Lakes",NA,NA,"Inhibitory",0.00459023879779531,0.00681660361160845,0.00818756574997512,0.00985610537590532,0.0142457251208499
"Water","2018-09-15","Gibson Lakes",NA,NA,"NonInhibitory",0.0399134207236586,0.0490091869745517,0.0545916145107845,0.0607697306974979,0.0751934940844328
"Water","2018-09-15","Gibson Lakes",NA,NA,"Uncertain",0.914180683171653,0.930307542909742,0.9371250736515,0.942903251010971,0.952545064331309
"Water","2018-09-22","Ponds Lake",NA,NA,"Inhibitory",0.00371221564692708,0.00591921157793103,0.00748489272196131,0.00952439824582506,0.0139819176983162
"Water","2018-09-22","Ponds Lake",NA,NA,"NonInhibitory",0.0025464437980089,0.00423672015762159,0.00536220974227176,0.00694076494803157,0.0109732546039887
"Water","2018-09-22","Ponds Lake",NA,NA,"Uncertain",0.977341308035944,0.984008419142401,0.986780749289256,0.989219441796244,0.992229602295194
"Substrate","2018-06-16","Gibson Lakes",NA,NA,"Inhibitory",0.0104715497069453,0.0156913687538312,0.018948219650459,0.0225540946673382,0.0300980828978702
"Substrate","2018-06-16","Gibson Lakes",NA,NA,"NonInhibitory",0.000417407803781535,0.000731065206412419,0.000981761820476991,0.00128465589168166,0.00202870845451996
"Substrate","2018-06-16","Gibson Lakes",NA,NA,"Uncertain",0.968865337267269,0.976304506426142,0.980046151320963,0.983233067827668,0.988591749050228
"Substrate","2018-06-23","Ponds Lake",NA,NA,"Inhibitory",0.00177039652779293,0.00263914771896518,0.00322867934861403,0.00393739322777352,0.00581028612924763
"Substrate","2018-06-23","Ponds Lake",NA,NA,"NonInhibitory",0.000299016521075437,0.000493253479293958,0.000631508846449763,0.000814498442649843,0.0012380697306371
"Substrate","2018-06-23","Ponds Lake",NA,NA,"Uncertain",0.993376062911209,0.995365762503204,0.996090218349532,0.996727449744378,0.997677915440951
"Substrate","2018-06-30","Gibson Lakes",NA,NA,"Inhibitory",0.0102800776418616,0.0146311032803825,0.0171702467652563,0.01995716767504,0.026288977152528
"Substrate","2018-06-30","Gibson Lakes",NA,NA,"NonInhibitory",0.000451827352189301,0.000683481192866362,0.000847925229805959,0.00104305594678412,0.00149696764144015
"Substrate","2018-06-30","Gibson Lakes",NA,NA,"Uncertain",0.972753302751057,0.97918105526279,0.981921686868056,0.984564721443066,0.988928437684769
"Substrate","2018-07-07","Ponds Lake",NA,NA,"Inhibitory",0.00158905596637762,0.00223887828321015,0.00265407989254854,0.00314262514101664,0.00436563785090599
"Substrate","2018-07-07","Ponds Lake",NA,NA,"NonInhibitory",0.000378641758994583,0.000556105661561198,0.000680057221694594,0.000830842928961254,0.00116330223434267
"Substrate","2018-07-07","Ponds Lake",NA,NA,"Uncertain",0.994738432469317,0.996103695820955,0.996643674862729,0.997100952378992,0.997850122787543
"Substrate","2018-07-14","Gibson Lakes",NA,NA,"Inhibitory",0.0086615134087335,0.0124895920209872,0.0146624096358905,0.0168704567232013,0.0224838090110868
"Substrate","2018-07-14","Gibson Lakes",NA,NA,"NonInhibitory",0.000441074690955715,0.000623284514757337,0.000755092048528009,0.000903443230784108,0.00127544426526676
"Substrate","2018-07-14","Gibson Lakes",NA,NA,"Uncertain",0.976591680114922,0.982277354598296,0.984563895596884,0.986790791632213,0.990551488320014
