"Type","Date","Site","Age","LM","Taxon","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"Water","2018-06-23","Ponds Lake",NA,NA,"Other",0.407711163443563,0.428271447108465,0.439114458756827,0.450027193762423,0.470626853647415
"Water","2018-06-30","Gibson Lakes",NA,NA,"Uncertain",0.550395204887921,0.574092476553085,0.587103220739062,0.598796803400305,0.621350594799739
"Water","2018-06-30","Gibson Lakes",NA,NA,"NonInhibitory",0.010584535585408,0.0144365466523699,0.0167997441079135,0.019191042249564,0.0247124651653996
"Water","2018-06-30","Gibson Lakes",NA,NA,"Inhibitory",0.0137371946461221,0.015854783328314,0.0170511401833081,0.0183245903961897,0.020783807270043
"Water","2018-06-30","Gibson Lakes",NA,NA,"Other",0.344551667511076,0.367023557021402,0.379302352017081,0.391539557972926,0.415608738386886
"Water","2018-07-07","Ponds Lake",NA,NA,"Uncertain",0.478091744264103,0.493665617213521,0.501568831243229,0.509842387467488,0.524980159092527
"Water","2018-07-07","Ponds Lake",NA,NA,"NonInhibitory",0.00557056846177966,0.00665220183675176,0.0072775882773866,0.0079351284121816,0.00926199725625418
"Water","2018-07-07","Ponds Lake",NA,NA,"Inhibitory",0.0128611192468875,0.0144460414272771,0.0152776111424356,0.0161919833495672,0.0180205695946903
"Water","2018-07-07","Ponds Lake",NA,NA,"Other",0.452028374652275,0.46749985412573,0.475460482639881,0.483569277482063,0.499643090264502
"Water","2018-07-14","Gibson Lakes",NA,NA,"Uncertain",0.521169845824982,0.55271665274127,0.566357582153288,0.577986579051713,0.600429210935684
"Water","2018-07-14","Gibson Lakes",NA,NA,"NonInhibitory",0.011727348369399,0.0148628143562193,0.016723157093135,0.0185233090313405,0.0226145182988627
"Water","2018-07-14","Gibson Lakes",NA,NA,"Inhibitory",0.0146205135186104,0.0164558769288382,0.0175107113910418,0.0186913948231883,0.0210021230785785
"Water","2018-07-14","Gibson Lakes",NA,NA,"Other",0.365857182776003,0.388111832358922,0.399478524505468,0.412569043137465,0.443450926434853
"Water","2018-07-28","Ponds Lake",NA,NA,"Uncertain",0.446144465184634,0.459516343507877,0.466681048094784,0.474184220293285,0.487437467559852
"Water","2018-07-28","Ponds Lake",NA,NA,"NonInhibitory",0.00659808143154103,0.00752771038211113,0.00807526542598255,0.0087046845838319,0.00999556224724029
"Water","2018-07-28","Ponds Lake",NA,NA,"Inhibitory",0.0133509378501837,0.014742474603222,0.0154423648350881,0.0162604836128518,0.0178984642223884
"Water","2018-07-28","Ponds Lake",NA,NA,"Other",0.488558085114171,0.502070484289681,0.509628914672496,0.516867100671698,0.531094156664482
"Water","2018-08-04","Gibson Lakes",NA,NA,"Uncertain",0.496499787523062,0.544734336895767,0.560135081339445,0.57262966119894,0.595533345236032
"Water","2018-08-04","Gibson Lakes",NA,NA,"NonInhibitory",0.0135812729835307,0.0165149009181637,0.0182762559786858,0.0202472012959184,0.0246042406080225
"Water","2018-08-04","Gibson Lakes",NA,NA,"Inhibitory",0.0139227601499031,0.0157416782635525,0.0168031225044986,0.0179157032930913,0.0202065691706508
"Water","2018-08-04","Gibson Lakes",NA,NA,"Other",0.370384782023801,0.393534644703038,0.40493844840926,0.419787327641022,0.464382911960639
"Water","2018-08-11","Ponds Lake",NA,NA,"Uncertain",0.433185827268542,0.446019338170546,0.453471598687715,0.460964124216029,0.474106188292614
"Water","2018-08-11","Ponds Lake",NA,NA,"NonInhibitory",0.00691043189071524,0.00782576248023945,0.00837625938793785,0.00898036289788763,0.0103223549447221
"Water","2018-08-11","Ponds Lake",NA,NA,"Inhibitory",0.0135336578494779,0.0149238391107795,0.0156913922160665,0.0164522526916937,0.0180480541006414
"Water","2018-08-11","Ponds Lake",NA,NA,"Other",0.501357203612738,0.514596106143124,0.522590028590772,0.530035352229207,0.543004692781691
"Water","2018-08-18","Gibson Lakes",NA,NA,"Uncertain",0.471118199211502,0.525567455580872,0.54244457509708,0.554771247824327,0.5778206831366
