"Taxon","ProbabilityOfBdInhibition"
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus;_1",0.504
"Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Conexibacter;_2",0.4848
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;RBG-16-58-14;_6",0.5
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Nordella;_1",0.5026
"Bacteria;Patescibacteria;Parcubacteria;_1",0.497
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Methylacidiphilales;Methylacidiphilaceae;_1",0.51
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Roseiarcus;_1",0.4902
"Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;_2",0.4976
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_12",0.5132
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;_2",0.5028
"Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales;_3",0.5106
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_9",0.5064
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium;parvum;_1",0.4868
"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;_1",0.5002
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Candidatus_Planktophila;_4",0.5074
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Candidatus_Planktophila;_5",0.4918
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;_2",0.507
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter;thiooxidans;_1",0.5024
"Bacteria;Chloroflexi;KD4-96;_4",0.4972
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;_1",0.9996
"Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup_17;_1",0.5028
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;_1",0.4968
"Bacteria;Proteobacteria;_1",0.4988
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;alphaI_cluster;_3",0.4986
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;_1",0.4956
"Bacteria;Firmicutes;Bacilli;Bacillales;_2",0.5032
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter;_1",0.4934
"Bacteria;Sva0485;_2",0.503
